COMMANDO;;;;;;;;;r;;;;
CONTENT MANAGEMENT SYSTEM;;;Jenis Konten;Kategori dalam Agset BUMN;Jenis Media Plan;Aktualisasi;Media;Jenis Konten;;;Creator;Review;Process
632;03 Maret 2025;Pendaftaran Mudik Gratis BUMN;Campaign ASABRI;;;Realisasi;X;Infografis;"Halo #SobatASABRI 

Ubur-ubur ikan lele
Mudik Gratis BUMN, datang lagi lee??

Pendaftaran Mudik Gratis BUMN, Mudik Aman Sampai Tujuan bersama ASABRI resmi dibuka mulai hari ini, 3 Maret 2025 sampai dengan kuota terpenuhi.

Terbuka bagi seluruh Peserta ASABRI, Insan ASABRI dan Masyarakat Umum. 

Buat kamu yang ingin pulang kampung tanpa ribet dan gratis, yuk daftar Mudik Gratis BUMN bersama ASABRI sekarang juga! ???

Kuota terbatas, jangan sampai kehabisan! Ajak keluarga & teman-temanmu, biar perjalanan mudik makin seru

Untuk informasi selengkapnya, silakan #Sobat cek postingan berikut ya.


Ayo Segera Daftar!

#MudikGratisBUMN
#MudikAmanSampaiTujuanBUMN2025
#MudikBersamaASABRI2025
#ASABRIIdulFitri1446H
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1896495410522505435?s=20;;Approve Sesper;
633;03 Maret 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;X;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin!

Senin di awal Ramadan adalah langkah pertama menuju berkah yang lebih besar. Mari sambut hari ini dengan semangat, niat yang tulus, dan hati yang penuh Harapan.

Selamat Menunaikan Ibadah Puasa Ramadan 1446 H. Semoga puasa ini membawa berkah, menguatkan hati, dan menyinari langkah.
ASABRI Sahabat Perjuangan Anda Sepanjang Masa.
#SemangatSenin
#ASABRIRamadan1446H
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia
";https://x.com/asabri_official/status/1896402175741530228?s=20;;Approve Sesper;
634;01 Maret 2025;Selamat menunaikan Ibadah Puasa dibulan suci Ramadan 1446 Hijriah.;Hari Besar Nasional;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Dewan Komisaris, Direksi, dan seluruh Insan ASABRI
mengucapkan

Selamat menunaikan Ibadah Puasa dibulan suci Ramadan 1446 Hijriah.

Bulan suci Ramadan adalah waktu terbaik untuk merenung, memperbaiki diri, dan mendekatkan hati kepada Allah.

Semoga kita semua diberi kesehatan, kelancaran, dan keberkahan. Aamiin.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#Ramadan1446H
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia
#SelamatRamadan";https://x.com/asabri_official/status/1895582814114103318?s=20;;Approve Sesper;
635;28 Februari 2025;Selamat Menunaikan Ibadah Puasa 1446 H;Hari Besar Nasional;;;Realisasi;X;Video;"Halo #SobatASABRI

Selamat Menunaikan Ibadah Puasa 1446 H

Marhaban ya Ramadan! Bulan suci penuh berkah telah tiba, saatnya kita memperbanyak ibadah, menebar kebaikan, dan mendekatkan diri kepada Allah SWT.

Seluruh keluarga besar PT ASABRI (Persero), mengucapkan Selamat Menunaikan Ibadah Puasa 1446 H. Semoga puasa ini membawa berkah, menguatkan hati, dan menyinari langkah kita dalam menjalani kehidupan yang lebih baik.

Mari jadikan Ramadan ini sebagai momen untuk memperbaiki diri dan mempererat silaturahmi. Semoga segala amal ibadah kita diterima dan membawa keberkahan. 

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#ASABRIRamadan1446H
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1895470800842760572?s=20;;Approve Sesper;
636;28 Februari 2025;Informasi mengenai waktu layanan Kantor Cabang PT ASABRI (Persero) selama bulan suci Ramadhan 1446 Hijriah.;Konten Lainnya;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Berikut informasi mengenai waktu layanan Kantor Cabang PT ASABRI (Persero) selama bulan suci Ramadhan 1446 Hijriah.

Kami terus melayani dengan sepenuh hati, untuk seluruh #SobatASABRI.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#WaktuLayananASABRIRamadhan1446H
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1895417174694805986?s=20;;Approve Sesper;
637;28 Februari 2025;Layanan Kunjungan Penerima Pensiun (LKPP);Campaign ASABRI;;;Realisasi;X;Infografis;"Halo #SobatASABRI,
Layanan Kunjungan Penerima Pensiun (LKPP) adalah jembatan yang menghubungkan ASABRI dengan Peserta secara lebih personal dan proaktif. 

Sejalan dengan semangat memberikan layanan yang lebih dekat kepada Peserta, Kantor Cabang ASABRI Ternate melaksanakan kegiatan LKPP untuk memperkuat keterikatan dengan Peserta di wilayah Ternate, Maluku Utara.

Untuk informasi selengkapnya, #SobatASABRI bisa cek postingan berikut ya!

#SahabatPerjuanganAndaSepanjangMasa
#BUMNuntukIndonesia
#LayananASABRIuntukIndonesia
#ASABRIuntukIndonesia";https://x.com/asabri_official/status/1895304477319860712?s=20;;Approve Sesper;
638;26 Februari 2025;Apa itu Manfaat Program THT? ;Sekilas;;;Realisasi;X;Video;"Halo #SobatASABRI

Kali ini #SEKILAS informasi kembali hadir loh??
#SegmenEdukasidanKolaborasiInfluencerASABRI

Apa itu Manfaat Program THT? Yuk simak segmen #SEKILAS berikut ini!

Untuk informasi lebih lanjut, #SobatASABRI dapet mengunjungi Website ASABRI http://asabri.co.id, Kanal Sosial Media ASABRI, Akun resmi contact center ASABRI, dan Kantor Cabang sesuai wilayah masing-masing ya Sobat..

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#LayananASABRIuntukIndonesia
#ManfaatProgramASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1894638543659831404?s=20;;Approve Sesper;
639;25 Februari 2025;Rapat Koordinasi Teknis (Rakornis) Tahun 2025;Campaign ASABRI;;;Realisasi;X;Infografis;"Halo #SobatASABRI
Dengan semangat pelayanan terbaik, PT ASABRI (Persero) kembali menggelar Rapat Koordinasi Teknis (Rakornis) Tahun 2025 dengan tema ""ASABRI Peduli, Peserta Sejahtera"", di Aula Sebaguna Lantai 7 Gedung ASABRI Kantor Pusat.

Rakornis menjadi sebuah forum strategis yang mempertemukan BOC, BOD, serta seluruh jajaran pimpinan unit kerja Kantor Pusat maupun Kantor Cabang.

#ASABRIPeduliPesertaSejahtera
#LayananASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#BUMNuntukIndonesia
#RakornisTahun2025
#ASABRIuntukIndonesia";https://x.com/asabri_official/status/1894283533583028638?s=20;;Approve Sesper;
640;24 Februari 2025;Peluncuran DANANTARA;Campaign Bersama BUMN;;;Realisasi;X;Infografis;"Dewan Komisaris, Direksi, dan Insan ASABRI mengucapkan
Selamat Atas Peluncuran
""Daya Anagata Nusantara (DANANTARA)""
oleh Presiden Republik Indonesia
Prabowo Subianto
24 Februari 2025
#DanantaraIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia
";https://x.com/asabri_official/status/1893905664109400481?s=20;;Approve Sesper;
641;24 Februari 2025;Selamat dan Semangat Hari Senin;Senin Semangat;;;Realisasi;X;Video;"Halo #SobatASABRI, Selamat dan Semangat Hari Senin
Jangan menunggu kesempurnaan untuk memulai, karena setiap langkah kecil akan membawa Perubahan.
ASABRI Sahabat Perjuangan Anda Sepanjang Masa.

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1893849879320940953?s=20;;Approve Sesper;
642;21 Februari 2025;Penyerahan Manfaat Pensiun Pertama dan THT;Campaign ASABRI;;;Realisasi;X;Infografis;"Halo #SobatASABRI

PT ASABRI (Persero) menyerahkan manfaat Pensiun Pertama dan THT kepada Menteri Imigrasi dan Pemasyarakatan Indonesia, Kabinet Merah Putih, Jenderal Polisi (Purn.) Drs. Agus Andrianto, S.H., M.H., yang telah memasuki masa purnabakti sebagai Anggota Polisi RI.

Untuk informasi selengkapnya, silakan #SobatASABRI cek postingan berikut ya.
#LayananASABRIuntukIndonesia
#ManfaatProgramASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1892744013909782640?s=20;;Approve Sesper;
643;20 Februari 2025;Perlindungan Tanpa Batas untuk Patriot Bangsa dengan Jaminan Kecelakaan Kerja (JKK);Campaign ASABRI;;;Realisasi;X;Infografis;"Halo #SobatASABRI

ASABRI sebagai pengelola Asuransi Sosial yang diamanahkan Negara, hadir dengan komitmen penuh untuk memberikan perlindungan terbaik melalui berbagai layanan dan manfaat, salah satunya adalah Jaminan Kecelakaan Kerja (JKK).

Untuk informasi selengkapnya, silakan #SobatASABRI cek postingan berikut ya.

#ManfaatProgramASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia
#LayananASABRIuntukIndonesia";https://x.com/asabri_official/status/1892389629673791940?s=20;;Approve Sesper;
644;19 Februari 2025;Kepuasan Layanan ASABRI Mencapai 96,01;Campaign ASABRI;;;Realisasi;X;Infografis;"Halo #SobatASABRI

PT ASABRI (Persero) mencatat pertumbuhan yang terus meningkat untuk Tingkat Kepuasan Pelanggan. Keberhasilan ini tidak lepas dari berbagai inisiatif strategis yang berkualitas, inovatif, dan berdampak langsung bagi Peserta. 

Untuk informasi selengkapnya, silakan #SobatASABRI cek postingan berikut ya!

#InsanASABRIBanggaMelayaniNegeri
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia

#LayananASABRIuntukIndonesia";https://x.com/asabri_official/status/1892051395391410279?s=20;;Approve Sesper;
645;17 Februari 2025;Selamat dan Semangat Hari Senin;Senin Semangat;;;Realisasi;X;Video;"Halo #SobatASABRI, Selamat dan Semangat Hari Senin

Ketika pelayanan diberikan dengan tulus, kepercayaan akan tumbuh. Disitulah Kami hadir untuk negeri, melayani bangsa sepenuh hati, demi kesejahteraan dan kemajuan bersama.

ASABRI Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1891301808452092253?s=20;;Approve Sesper;
646;14 Februari 2025;PT ASABRI (Persero) melaksanakan Rapat Kerja Komunikasi Tahun 2025;Campaign ASABRI;;;Realisasi;X;Infografis;"Halo #SobatASABRI

PT ASABRI (Persero) melaksanakan Rapat Kerja Komunikasi Tahun 2025  yang diikuti oleh penanggung jawab Komunikasi di semua level, mulai dari Direksi, Para Pimpinan Unit Kerja, Divisi, dan Kantor Cabang, serta Media Ranger & Creator di seluruh Indonesia.

ASABRI merumuskan langkah strategis dalam memperkuat fungsi komunikasi Perusahaan, memastikan kolaborasi yang lebih erat, serta mengakselerasi inovasi informasi demi meningkatkan kepercayaan publik sehingga selaras dengan Asta Cita.

Untuk Informasi selengkapnya, silakan #SobatASABRI cek postingan berikut ya

#RapatKerjaKomunikasiASABRI2025
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1890201226102599726?s=20;;Approve Sesper;
647;13 Februari 2025;Bagaimana cara mengetahui rumah sakit yang telah bekerja sama dengan ASABRI?;Berseri;;;Realisasi;X;Video;"Halo #SobatASABRI  

Sekarang memasuki waktunya BERSERI nih... #BertanyaSeputarASABRI ??   

Tahukah kamu Bagaimana cara mengetahui rumah sakit yang telah bekerja sama dengan ASABRI?

Yuk simak dan ketahui informasi yang tersedia sesuai infografis berikut ya…

Untuk informasi lebih lanjut, Sobat dapat mengunjungi Website ASABRI http://asabri.co.id atau mengunjungi Kantor Cabang sesuai wilayah masing-masing ya Sobat…

#BertanyaSeputarASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1889934805879628228?s=20;;Approve Sesper;
648;12 Februari 2025;Kini ASABRI hadir di Seluruh Indonesia melalui layanan di 33 Kantor Cabang.;Konten Lainnya;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Sebagai bentuk optimalisasi peningkatan layanan ASABRI kepada Peserta, kini ASABRI hadir di Seluruh Indonesia melalui layanan di 33 Kantor Cabang.

Untuk informasi selengkapnya, silakan #SobatASABRI kunjungi website kami di http://asabri.co.id 

#LayananASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1889618167330148660?s=20;;Approve Sesper;
649;12 Februari 2025;"PT ASABRI (Persero) telah menyelenggarakan Rapat Umum Pemegang Saham (RUPS) di Kementerian BUMN.
";Campaign Bersama BUMN;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Dalam rangka pengesahan Rencana Kerja dan Anggaran Perusahaan (RKAP) Tahun 2025, PT ASABRI (Persero) telah menyelenggarakan Rapat Umum Pemegang Saham (RUPS) di Kementerian BUMN.

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1889564365394776259?s=20;;Approve Sesper;
650;09 Februari 2025;Hari Pers Nasional 2025;Hari Besar Nasional;;;Realisasi;X;Infografis;"Halo #SobatASABRI 

Selamat Hari Pers Nasional 2025
9 Januari 2025

""Pers Mengawal Ketahanan Pangan untuk Kemandirian Bangsa""'

Pers berperan penting dalam mengawal ketahanan pangan, menyuarakan isu strategis, serta membangun kesadaran masyarakat demi kemandirian bangsa. Mari dukung pers yang independen, informatif, dan berintegritas!

#HariPersNasional2025
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1888454385019355572?s=20;;Approve Sesper;
651;06 Februari 2025;Informasi Kantor Cabang Wilayah Serang dan Sekitarnya;ASABRI Link;;;Realisasi;X;Video;"Halo #SobatASABRI yang berdomisili di wilayah Serang dan sekitarnya, Sobat dapat mengunjungi Kantor Cabang ASABRI Serang dan beberapa ASABRI Link yang tersedia sesuai informasi yang tertera pada infografis berikut ya.

ASABRI Link, lebih dekat melayani Peserta

#LayananASABRI
#ASABRILink
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1887312404754919825?s=20;;Approve Sesper;
652;03 Februari 2025;Autentikasi digital di ASABRI STAR;Konten Lainnya;;;Realisasi;X;Infografis;"Halo #SobatASABRI, sudah Autentikasi di ASABRI STAR?
Untuk keamanan Gaji Pensiun, pastikan Sobat ASABRI telah melakukan Autentikasi digital di ASABRI STAR antara tanggal 1-10 setiap bulannya agar Gaji Pensiun dapat masuk ke rekening.

Apabila terdapat kendala atau membutuhkan informasi lebih lanjut, silakan Sobat ASABRI dapat mengunjungi Kantor Cabang ASABRI, Mitra Bayar ASABRI atau menghubungi Call Center 1500043 dan media sosial ASABRI.

#ASABRIuntukIndonesia
#BUMNuntukIndonesia
#DenganASABRISTARGajiPensiunAman";https://x.com/asabri_official/status/1886347931071950968?s=20;;Approve Sesper;
653;03 Februari 2025;Selamat dan Semangat Hari Senin;Senin Semangat;;;Realisasi;X;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin

Hari Senin di Tahun Baru Imlek adalah kesempatan emas untuk memulai langkah sukses. Tebarkan semangat positif dan keberuntungan!

#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1886244669975306668?s=20;;Approve Sesper;
654;30 Januari 2025;100 Hari Kerja ;Campaign Bersama BUMN;;;Realisasi;X;Infografis;"Halo #SobatASABRI
ASABRI sebagai BUMN pengelola Asuransi Sosial TNI, Polri, ASN Kemhan, dan ASN Polri terus berkomitmen mendukung Asta Cita Presiden Prabowo Subianto, dengan menjamin kesejahteraan Peserta ASABRI dan Keluarga yang menjaga kedaulatan Bangsa dan Negara.

Semua itu adalah amanah yang diemban untuk memastikan setiap Peserta dan Keluarga aman dan tenang saat berkarya untuk bangsa dan sejahtera saat purna tugas nantinya.

Layanan yang berkualitas menjadi kewajiban. Digitalisasi menjadi jawaban untuk kemudahan masa kini dan masa depan

?? ASABRI Mobile
? ASABRI STAR
?? ASABRI Link

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#ASABRIuntukIndonesia
#BUMNuntukIndonesia
#BUMNDukungAstaCita
#PembangunanBerkelanjutan
#EkonomiKerakyatan
";https://x.com/asabri_official/status/1884778260833489006?s=20;;Approve Sesper;
655;29 Januari 2025;Happy Chinese New Year 2025;Hari Besar Nasional;;;Realisasi;X;Infografis;"Halo #SobatASABRI 

Happy Chinese New Year 2025

Xin Nian Kuai Le ?

Selamat Tahun Baru Imlek 2025. Tahun Ular Kayu hadir dengan harapan baru. Saatnya untuk melangkah maju dengan ketenangan, harapan, dan optimisme dalam menjalani setiap tantangan.

29 Januari 2025
Gong Xi Fa Cai

#ChineseNewYear2025
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1884459815273128354?s=20;;Approve Sesper;
656;27 Januari 2025;Memperingati Isra Mi'raj Nabi Muhammad SAW 1446 H;Hari Besar Nasional;;;Realisasi;X;Video;"Halo #SobatASABRI

Selamat memperingati Isra Mi'raj Nabi Muhammad SAW 1446 H

Peristiwa penuh makna ini mengajarkan kita pentingnya beribadah sebagai wujud kedekatan hamba dengan Allah SWT. Mari jadikan momen ini sebagai pengingat untuk memperbaiki diri dan memperkuat iman.

Semoga kita senantiasa berada dalam lindungan dan rahmat-Nya, serta mampu meneladani akhlak mulia Rasulullah SAW dalam kehidupan sehari-hari. 

#IsraMi’raj1446H
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1883679197425815602?s=20;;Approve Sesper;
657;24 Januari 2025;Pemberitahuan Tutup Kantor Cabang ASABRI Beropasi Kembali dalam rangka Isra Mi'raj Nabi Muhammad S.A.W dan Tahun Baru Imlek 2567 Kongzili Tahun 2025;Hari Besar Nasional;;;Realisasi;X;Infografis;"Halo #SobatASABRI
Sehubungan dengan Libur Nasional Isra Mi'raj Nabi Muhammad S.A.W dan Tahun Baru Imlek 2567 Kongzili Tahun 2025, bersama ini kami sampaikan Jam Operasional Layanan Kantor Cabang ASABRI sesuai dengan infografis di atas ya

#LayananASABRI
#ASABRIuntukIndonesia";https://x.com/asabri_official/status/1882782908076699712?s=20;;Approve Sesper;
658;24 Januari 2025;Manfaat Program ASABRI;Sekilas;;;Realisasi;X;Video;"Halo #SobatASABRI

""Di balik langkah para penjaga kedaulatan bangsa, ada perlindungan yang setia mendampingi - ASABRI.""

ASABRI hadir melindungi Prajurit TNI, anggota Polri, ASN Kemhan, dan ASN Polri dengan Manfaat Program sesuai amanah PP 54/ 2020, perubahan atas PP 102/2015.

Apa saja Manfaat Program ASABRI?

Nah mari simak video #SEKILAS kali ini yang membahas tentang Manfaat Program ASABRI. 

@erickthohir
@AryaSinulingga
@KemenBUMN 

Untuk informasi lebih lanjut, #SobatASABRI dapat mengunjungi Website ASABRI http://asabri.co.id, Kanal Sosial Media ASABRI, Akun resmi contact center ASABRI, dan Kantor Cabang sesuai wilayah masing-masing ya Sobat..

#ManfaatProgramASABRI
#SegmenEdukasidanKolaborasiInfluencerASABRI
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1882767996076359963?s=20;;Approve Sesper;
659;17 Januari 2025;Informasi Kantor Cabang Wilayah Jakarta dan sekitarnya;Konten Lainnya;;;Realisasi;X;Video;"Halo #SobatASABRI yang berdomisili di wilayah Jakarta dan sekitarnya, Sobat dapat mengunjungi Kantor Cabang Utama ASABRI Jakarta dan beberapa ASABRI Link yang tersedia sesuai informasi yang tertera pada infografis berikut ya.

 ASABRI Link, lebih dekat melayani Peserta

Untuk informasi media sosial atau kontak resmi Kantor Cabang ASABRI Jakarta, Sobat bisa mengunjungi @asabri_kcujakarta ya.

 #LayananASABRI
#ASABRITangguhBertumbuh
#ASABRIuntukIndonesia
#BUMNuntukIndonesia
";https://x.com/asabri_official/status/1880120207517372557?s=20;;Approve Sesper;
660;13 Januari 2025;Selamat dan Semangat Hari Senin!;Senin Semangat;;;Realisasi;X;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin!

Semangat melayani bukan hanya tentang memberi, tetapi juga tentang membangun harapan bagi Indonesia yang lebih baik.

#ASABRITangguhBertumbuh
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1878641023922082218?s=20;;Approve Sesper;
661;09 Januari 2025;Bagaimana cara mendapatkan Formulir pengajuan ASABRI?;Berseri;;;Realisasi;X;Video;"Halo #SobatASABRI

Sekarang memasuki waktunya BERSERI nih... #BertanyaSeputarASABRI ??

Bagaimana cara mendapatkan Formulir pengajuan ASABRI?

Yuk simak dan ketahui informasi yang tersedia sesuai infografis berikut ya…

Untuk informasi lebih lanjut, Sobat dapat mengunjungi Website ASABRI http://asabri.co.id atau mengunjungi Kantor Cabang sesuai wilayah masing-masing ya Sobat…

#ASABRIuntukIndonesia
#BUMNuntukIndonesia
#BertanyaSeputarASABRI
#ManfaatProgramASABRI
#LayananASABRI";https://x.com/asabri_official/status/1877201452445167686?s=20;;Approve Sesper;
662;06 Januari 2025;Selamat dan Semangat Hari Senin!;Senin Semangat;;;Realisasi;X;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin

Tanggal Enam Bulan Januari,
Jangan Lupa Autentikasi Sobat ASABRI

#ASABRITangguhBertumbuh
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1876117136340582542?s=20;;Approve Sesper;
663;01 Januari 2025;Penutup 2024;Hari Besar Nasional;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Tahun 2024 telah menjadi perjalanan luar biasa bagi PT ASABRI (Persero). 

Kepada para Peserta, Para Pemangku Kepentingan dan Publik, kami berterima kasih atas kepercayaan yang diberikan.

Kepada seluruh Insan ASABRI, terima kasih atas kontribusi yang luar biasa.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa
Kita Berkualitas, Kita Hebat

#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1874313329122172945?s=20;;Approve Sesper;
